email_thread_id,mailbox,channel_type,received_date,sender_domain_type,region,brand,product_category,sku_id,batch_lot_id,retailer_name,order_id,promotion_code,thread_length_messages,days_since_first_message,avg_response_latency_hours,max_response_latency_hours,sender_message_count_90d,attachment_count,attachment_size_mb_total,cc_recipient_count,reply_all_flag,sentiment_score,negative_word_count,urgency_keyword_count,taste_keyword_flag,packaging_keyword_flag,shelf_life_keyword_flag,allergen_keyword_flag,availability_keyword_flag,topic_primary,prior_complaints_count_sku_90d,prior_escalations_count_retailer_12m,batch_quality_deviation_flag,sku_recent_quality_hold_flag,retailer_tier,consumer_loyalty_tier,assigned_team,current_status,resolution_time_hours,resolution_touches_count,commercial_credit_issued_usd,escalated_flag,escalation_within_48h,hours_to_critical_event_or_censor
LUM-EML-000001,Trade/Retailer,Retailer Inquiry,2026-01-04,Retailer Corporate,North America,CitrusPeak,Sparkling Beverage,SKU-94784,LOT-802534,ValueStop,ORD-7752300,,3,12.7,2.4,3.9,2,0,0.0,3,N,0.13,1,1,N,N,Y,N,N,Shelf-Life,2,6,N,N,Bronze,N/A,Trade Marketing & Key Accounts,Open,,5,0.0,N,0,75.0
LUM-EML-000002,Supplier Relations,Supplier Notification,2026-07-02,Supplier Corporate,North America,PureWave,Still Beverage,SKU-14303,LOT-936173,Not Applicable (Supplier),,,3,7.1,9.9,18.8,2,0,0.0,3,N,-0.019,1,1,N,N,N,N,N,Delivery/Logistics,2,0,N,N,N/A,N/A,Procurement & Supplier Mgmt,In Progress,,5,0.0,N,0,61.5
LUM-EML-000003,Quality & Food Safety,Internal Escalation,2026-05-26,Internal,Central Europe,MorningRise Pastry,Pastry - Seasonal Specialty,SKU-81377,LOT-303246,Not Applicable (Internal),,,3,2.0,9.5,15.1,2,0,0.0,3,Y,0.331,1,1,N,N,N,N,N,General Inquiry,2,0,N,N,N/A,N/A,Quality Assurance & Food Safety,In Progress,,5,0.0,N,0,57.9
LUM-EML-000004,Consumer Care,Consumer Complaint,2025-12-27,Consumer/Personal,APAC,MorningRise Pastry,Pastry - Seasonal Specialty,SKU-77178,LOT-655448,Not Applicable (Consumer),,,3,2.9,12.5,20.4,2,0,0.0,3,N,-0.188,1,1,N,N,N,N,N,Pricing/Promotion,2,0,N,N,N/A,New,Consumer Care Team,Escalated,,5,0.0,Y,0,56.0
LUM-EML-000005,Consumer Care,Consumer Complaint,2025-10-17,Consumer/Personal,North America,GoldenCrust Bakery,Pastry - Ambient Cake,SKU-72721,LOT-747482,Not Applicable (Consumer),,,3,4.1,13.2,23.2,2,0,0.0,3,Y,-0.486,1,1,N,N,N,N,N,General Inquiry,2,0,N,N,N/A,Returning,Consumer Care Team,Open,,5,0.0,N,0,56.4
LUM-EML-000006,Supplier Relations,Supplier Notification,2025-10-11,Supplier Corporate,APAC,BerryBurst,Sparkling Beverage,SKU-24124,LOT-156105,Not Applicable (Supplier),,,3,3.3,12.0,26.5,2,0,0.0,3,N,-0.708,1,1,N,N,Y,N,N,Shelf-Life,2,0,N,N,N/A,N/A,Procurement & Supplier Mgmt,Resolved,18.8,5,0.0,N,0,49.0
LUM-EML-000007,Consumer Care,Consumer Complaint,2025-10-07,Consumer/Personal,Western Europe,AquaLuna,Functional Water,SKU-90755,LOT-304816,Not Applicable (Consumer),,,3,0.4,8.8,21.7,2,0,0.0,3,N,-0.333,1,1,N,N,N,N,N,Delivery/Logistics,2,0,Y,N,N/A,Returning,Consumer Care Team,Escalated,,5,0.0,Y,1,48.0
LUM-EML-000008,Quality & Food Safety,Internal Escalation,2026-04-22,Consumer/Personal,APAC,MorningRise Pastry,Pastry - Croissant,SKU-34260,LOT-231904,Not Applicable (Internal),,,3,0.4,9.9,12.3,2,0,0.0,3,N,-0.288,1,1,N,N,N,N,Y,Availability/Stock,2,0,N,N,N/A,N/A,Quality Assurance & Food Safety,Escalated,,5,0.0,Y,0,58.3
LUM-EML-000009,Quality & Food Safety,Internal Escalation,2026-01-02,Retailer Corporate,North America,GoldenCrust Bakery,Pastry - Ambient Cake,SKU-80091,LOT-641068,Not Applicable (Internal),,,3,5.5,26.8,57.1,2,0,0.0,3,N,-0.228,1,1,N,N,Y,N,Y,Availability/Stock,2,0,N,N,N/A,N/A,Quality Assurance & Food Safety,Closed,8.7,5,0.0,N,0,49.0
LUM-EML-000010,Trade/Retailer,Retailer Inquiry,2026-07-06,Retailer Corporate,Western Europe,AquaLuna,Still Beverage,SKU-72850,LOT-738848,FreshCo Retail,ORD-4098628,,3,5.6,25.2,43.0,2,0,0.0,3,N,0.219,1,1,Y,N,N,Y,N,Allergen/Safety,2,6,N,N,Silver,N/A,Trade Marketing & Key Accounts,Resolved,1.6,5,0.0,Y,1,48.0
LUM-EML-000011,Consumer Care,Consumer Complaint,2026-01-30,Consumer/Personal,Latin America,GoldenCrust Bakery,Pastry - Ambient Cake,SKU-63444,LOT-604590,Not Applicable (Consumer),,,3,3.2,22.3,48.1,2,0,0.0,3,N,-0.157,1,1,N,N,N,N,N,Delivery/Logistics,2,0,N,N,N/A,Returning,Consumer Care Team,Resolved,17.2,5,0.0,N,0,66.8
LUM-EML-000012,Consumer Care,Consumer Complaint,2025-09-07,Consumer/Personal,APAC,MorningRise Pastry,Pastry - Croissant,SKU-88101,LOT-187618,Not Applicable (Consumer),,,3,0.3,11.4,19.3,2,0,0.0,3,N,0.256,1,1,N,Y,N,N,N,Pricing/Promotion,2,0,N,N,N/A,VIP,Consumer Care Team,Escalated,,5,0.0,Y,0,66.3
LUM-EML-000013,Consumer Care,Consumer Complaint,2026-06-26,Consumer/Personal,Latin America,GoldenCrust Bakery,Pastry - Cookie,SKU-21232,LOT-453454,Not Applicable (Consumer),,,3,2.0,31.6,70.1,2,0,0.0,3,N,-0.022,1,1,N,N,N,N,N,Pricing/Promotion,2,0,N,N,N/A,Returning,Consumer Care Team,Open,,5,0.0,N,0,52.0
